"Timestamp","1. How old are you (years)?","2. Please choose your gender.","3. Which state in Nigeria do you live in?","4. What is your employment status?","5. How much is your average monthly earnings (Naira)?","6. What is your most used means of transport?","7. How often do you leave your house (for any purpose)?","8. How do you usually go out for your recreational activities/hang outs?","9. Have you ever been harassed in a public or private space?","10. Considering one of the most significant confrontations you've had, how populated was the area?","11. What was the nature of this confrontation?","12. Were you at any point during this confrontation worried about your safety or that of your property?","13. Were you alone or with someone familiar during this confrontation?","14. Do you think if the harasser(s) felt they were being watched, or evidence of their actions could be used against them, they would have acted differently?","15. Did you at any point during this confrontation consider recording the situation with your phone?","15a. If no, (looking back at the situation) should you have considered recording the situation with your phone?","15b. If your answer to question 15 or 15a is yes, why?","15c. If your answer to question 15 and 15a is no, why?","16. Did you eventually record the situation with your phone?","16a. If yes, where you worried about the destruction of your phone?","16b. What worried you the most about using your phone (whether you recorded or not)?","17. If cheaper devices were made just for recording such a scenario, would you buy for back up purposes?","18. How much will you be comfortable with paying for such a product (Naira)?","19. Assuming the price of such a product is outside your comfort range, what's the maximum amount you would not be willing to go above?","20. How comfortable will you be if you/others were to have this device on everywhere you went?","21. What other situations do you think such a product would prove useful?"
"2021/02/19 1:13:51 AM PST","21 - 25","Male","Rivers","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","No","","","","","","","","","","","","","","less than 5,000","5,000 - 19,999","",""
"2021/02/19 1:15:07 AM PST","21 - 25","Male","Rivers","Freelancer","Less than 250,000","Personal/Private vehicle","Neutral","With family","No","Moderately populated","Mildly aggressive","No","Yes","No","No","No","","Didn't feel it was necessary","No","","","Maybe","less than 5,000","20,000 - 34,999","","record police, SARS"
"2021/02/19 1:15:20 AM PST","36 - 40","Male","Lagos","Self employed","500,000 - 749,999","Personal/Private vehicle","Almost Every Time","With family","Yes","Moderately populated","Mildly aggressive","Yes","No","Yes","Yes","Yes","Fear of destruction of property","","No","Yes","Loss of important files in phone if destroyed","Yes","5,000 - 19,999","5,000 - 19,999","","Police harassment"
"2021/02/19 1:20:18 AM PST","21 - 25","Male","Delta","Full-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Never","With friends","Yes","Very scarcely populated","Mildly aggressive","No","Yes","Maybe","No","No","","","No","","Expense of getting a new phone if destroyed","Maybe","less than 5,000","less than 5,000","",""
"2021/02/19 1:20:24 AM PST","21 - 25","Male","Rivers","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Never","By yourself","No","Moderately populated","Not aggressive","No","Yes","No","No","No","","Didn't feel it was necessary","No","","","Yes","less than 5,000","5,000 - 19,999","","Rape"
"2021/02/19 1:20:40 AM PST","36 - 40","Male","Lagos","Full-time employed","250,000 - 499,999","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Very aggressive","Yes","Yes","Maybe","No","Yes","Online awareness","","Yes","No","Loss of important files in phone if destroyed","No","less than 5,000","20,000 - 34,999","","Maybe for court cases"
"2021/02/19 1:21:03 AM PST","26 - 30","Male","Rivers","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Never","With friends","Yes","Very populated","Not aggressive","Yes","Yes","Yes","Yes","Yes","","","","","","","","","",""
"2021/02/19 1:22:19 AM PST","21 - 25","Male","Rivers","Freelancer","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Not aggressive","Yes","No","Maybe","No","No","","Fear for your life","No","Yes","Loss of important files in phone if destroyed","Yes","5,000 - 19,999","20,000 - 34,999","","Provision of evidence"
"2021/02/19 1:28:42 AM PST","21 - 25","Female","Lagos","Unemployed","Less than 250,000","Personal/Private vehicle","Almost Never","With family","Yes","Moderately populated","Mildly aggressive","Yes","Yes","Yes","No","No","","Fear of destruction of property","No","","Expense of getting a new phone if destroyed","Maybe","less than 5,000","5,000 - 19,999","","Recording law enforcement when they threatened you"
"2021/02/19 1:29:44 AM PST","26 - 30","Male","Lagos","Full-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With spouse","Yes","Moderately populated","Mildly aggressive","Yes","No","Yes","No","Yes","Accountability","","No","","Expense of getting a new phone if destroyed","Maybe","less than 5,000","5,000 - 19,999","","For Emergency to notify a friend or relative of an unsafe condition by the click of a button that could send a GPS location and a small button that allows for recording and automatically uploads or send s it to that person every 5seconds or something"
"2021/02/19 1:31:56 AM PST","21 - 25","Female","Lagos","Full-time employed","Less than 250,000","Commercial private vehicle (like uber, bolt, drop etc.)","Every Time","With friends","Yes","Moderately populated","Mildly aggressive","Yes","Yes","No","No","Yes","Accountability","","No","","","Yes","less than 5,000","5,000 - 19,999","",""
"2021/02/19 1:32:38 AM PST","31 - 35","Male","Osun","Full-time employed","250,000 - 499,999","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With family","Yes","Scarcely populated","Very aggressive","Yes","No","Maybe","Yes","Yes","Accountability","Fear of provoking the harasser any further","No","Yes","Loss of important files in phone if destroyed","Yes","less than 5,000","5,000 - 19,999","","Security "
"2021/02/19 1:35:26 AM PST","26 - 30","Male","Rivers","Freelancer","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","By yourself","Yes","Scarcely populated","Life threatening","Yes","Yes","No","","","","","","","","","","","",""
"2021/02/19 1:35:36 AM PST","26 - 30","Male","Rivers","Freelancer","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","By yourself","Yes","Scarcely populated","Life threatening","Yes","Yes","No","","","","","","","","","","","",""
"2021/02/19 1:35:38 AM PST","26 - 30","Male","Rivers","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With friends","Yes","Scarcely populated","Life threatening","Yes","Yes","Yes","No","No","","Fear of provoking the harasser any further","No","No","Loss of the recorded video (evidence) in phone if destroyed","Yes","less than 5,000","5,000 - 19,999","","Security in general especially wen is security itself is secured "
"2021/02/19 1:35:39 AM PST","21 - 25","Male","Rivers","Unemployed","Less than 250,000","Trekking","Neutral","With friends","Yes","Moderately populated","Mildly aggressive","No","Yes","No","No","No","","Didn't feel it was necessary","No","","Expense of getting a new phone if destroyed","Yes","20,000 - 34,999","35,000 - 49,999","","Road accidents "
"2021/02/19 1:38:56 AM PST","21 - 25","Female","Lagos","Part-time employed","Less than 250,000","Personal/Private vehicle","Neutral","With friends","Yes","Very populated","Very aggressive","Yes","Yes","Maybe","No","No","","","No","","","","5,000 - 19,999","5,000 - 19,999","",""
"2021/02/19 1:47:36 AM PST","26 - 30","Male","Rivers","Full-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Mildly aggressive","Yes","","Maybe","No","No","","Fear of provoking the harasser any further","No","","Expense of getting a new phone if destroyed","Maybe","less than 5,000","5,000 - 19,999","","During elections
In times of any kind of criminal activity "
"2021/02/19 1:48:10 AM PST","16 - 20","Female","Lagos","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","No","Scarcely populated","Mildly aggressive","Yes","","Yes","No","Yes","Accountability","","No","No","Loss of important files in phone if destroyed","Yes","less than 5,000","less than 5,000","","Important event"
"2021/02/19 2:02:24 AM PST","21 - 25","Female","Rivers","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","By yourself","No","Very populated","Not aggressive","Yes","Alone","Yes","No","Yes","Fear for your life","","No","","","","","","",""
"2021/02/19 2:04:59 AM PST","21 - 25","Female","Rivers","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With friends","Yes","Scarcely populated","Not aggressive","Yes","Alone","No","No","Yes","Online awareness","Ease of accessibility of phone's camera","No","No","","Yes","less than 5,000","5,000 - 19,999","",""
"2021/02/19 2:06:29 AM PST","21 - 25","Male","Lagos","Full-time employed","Less than 250,000","Personal/Private vehicle","Every Time","With friends","No","Scarcely populated","Not aggressive","Yes","Alone","Maybe","No","Yes","","Didn't feel it was necessary","No","No","Loss of important files in phone if destroyed","Yes","","above 100,000","",""
"2021/02/19 2:07:30 AM PST","26 - 30","Male","Rivers","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","By yourself","Yes","Very populated","Life threatening","Yes","Alone","Maybe","No","Yes","Online awareness","","No","","Loss of important files in phone if destroyed","Maybe","5,000 - 19,999","5,000 - 19,999","","For meeting purposes, one can record important part of the meeting "
"2021/02/19 2:07:41 AM PST","26 - 30","Male","Rivers","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Mildly aggressive","Yes","With Someone","Maybe","Yes","Yes","Accountability","Didn't feel it was necessary","No","No","","Maybe","less than 5,000","5,000 - 19,999","","At any event."
"2021/02/19 2:14:07 AM PST","21 - 25","Female","Rivers","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With friends","No","Moderately populated","Mildly aggressive","No","With Someone","Maybe","No","No","","Didn't feel it was necessary","No","No","Loss of important files in phone if destroyed","Yes","less than 5,000","20,000 - 34,999","",""
"2021/02/19 2:26:32 AM PST","21 - 25","Female","Rivers","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Never","With friends","Yes","Scarcely populated","Life threatening","Yes","Alone","Yes","No","No","Fear for your life","Fear of provoking the harasser any further","No","Yes","Expense of getting a new phone if destroyed","Maybe","5,000 - 19,999","50,000 - 64,999","",""
"2021/02/19 2:31:09 AM PST","21 - 25","Female","Akwa Ibom","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Very aggressive","Yes","With Someone","Maybe","No","No","","Fear of provoking the harasser any further","No","","Expense of getting a new phone if destroyed","Maybe","less than 5,000","less than 5,000","","Rape, theft, other form of assault, Accusations "
"2021/02/19 2:32:06 AM PST","26 - 30","Male","Rivers","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Very aggressive","Yes","Alone","Maybe","No","No","","Fear of destruction of property","No","Yes","Loss of important files in phone if destroyed","Yes","less than 5,000","5,000 - 19,999","","Maybe if they were fixed on the main roads and streets and the police had access to them it would prove useful to keep watch of what happens on the streets"
"2021/02/19 2:34:05 AM PST","21 - 25","Female","Rivers","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With friends","Yes","Scarcely populated","Life threatening","Yes","With Someone","Yes","No","No","","Fear for your life","No","","Loss of important files in phone if destroyed","Maybe","less than 5,000","5,000 - 19,999","","Emergency "
"2021/02/19 2:34:14 AM PST","26 - 30","Male","Abuja (FCT)","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","No","Moderately populated","Mildly aggressive","Yes","Alone","No","Yes","Yes","Online awareness","","No","","Loss of important files in phone if destroyed","Yes","5,000 - 19,999","50,000 - 64,999","","Health Emergency "
"2021/02/19 2:34:25 AM PST","26 - 30","Male","Imo","Full-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With friends","No","Scarcely populated","Mildly aggressive","Yes","With Someone","No","No","Yes","","Didn't feel it was necessary","No","","","Yes","less than 5,000","5,000 - 19,999","",""
"2021/02/19 2:41:59 AM PST","41 - 45","Male","Rivers","Self employed","250,000 - 499,999","Personal/Private vehicle","Almost Every Time","By yourself","Yes","Scarcely populated","Not aggressive","No","Alone","No","No","No","","","","","","Yes","less than 5,000","5,000 - 19,999","","Police checks"
"2021/02/19 2:45:29 AM PST","36 - 40","Male","Rivers","Full-time employed","250,000 - 499,999","Personal/Private vehicle","Every Time","With friends","Yes","Moderately populated","Very aggressive","Yes","With Someone","Yes","No","Yes","Fear of destruction of property","Didn't feel it was necessary","No","No","Loss of important files in phone if destroyed","Maybe","35,000 - 49,999","35,000 - 49,999","",""
"2021/02/19 2:57:55 AM PST","26 - 30","Male","Rivers","Freelancer","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","By yourself","Yes","Moderately populated","Life threatening","No","With Someone","Maybe","No","No","","Fear of provoking the harasser any further","No","","Loss of important files in phone if destroyed","Maybe","less than 5,000","5,000 - 19,999","","During site-seeing, in places where normally visitors will not be allowed to record (for personal use only).
It will be useful if the device can be worn (more like a crest or something similar which won't be obvious that recording is going on)"
"2021/02/19 3:00:00 AM PST","21 - 25","Female","Lagos","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Mildly aggressive","No","Alone","No","No","Yes","Online awareness","","No","","Expense of getting a new phone if destroyed","Yes","5,000 - 19,999","20,000 - 34,999","",""
"2021/02/19 3:00:13 AM PST","31 - 35","Male","Rivers","Unemployed","Less than 250,000","Commercial private vehicle (like uber, bolt, drop etc.)","Almost Every Time","By yourself","Yes","Scarcely populated","Life threatening","Yes","Alone","No","Yes","Yes","Fear for your life","Fear for your life","No","No","Loss of the recorded video (evidence) in phone if destroyed","Yes","5,000 - 19,999","20,000 - 34,999","","Monitoring police and criminal excesses "
"2021/02/19 3:07:17 AM PST","21 - 25","Female","Lagos","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Life threatening","Yes","With Someone","Maybe","No","No","","Fear for your life","No","","","Yes","5,000 - 19,999","5,000 - 19,999","","Recording people when you don't want them to know"
"2021/02/19 3:13:49 AM PST","21 - 25","Male","Abuja (FCT)","Freelancer","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With friends","No","Scarcely populated","Not aggressive","Yes","Alone","Yes","No","No","","","No","","Loss of important files in phone if destroyed","Yes","5,000 - 19,999","20,000 - 34,999","","Work"
"2021/02/19 3:14:03 AM PST","21 - 25","Male","Rivers","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Mildly aggressive","Yes","With Someone","No","No","No","","Fear of provoking the harasser any further","No","","","Maybe","less than 5,000","5,000 - 19,999","","Watching kids when with nannies"
"2021/02/19 3:17:20 AM PST","21 - 25","Female","Ebonyi","Full-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Not aggressive","No","With Someone","No","No","No","","Didn't feel it was necessary","No","","Expense of getting a new phone if destroyed","Yes","less than 5,000","5,000 - 19,999","",""
"2021/02/19 3:23:10 AM PST","26 - 30","Female","Ebonyi","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With friends","Yes","Moderately populated","Mildly aggressive","Yes","Alone","No","No","No","","Fear for your life","","","Expense of getting a new phone if destroyed","Yes","less than 5,000","20,000 - 34,999","",""
"2021/02/19 3:29:01 AM PST","26 - 30","Female","Lagos","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With family","No","Scarcely populated","Mildly aggressive","Yes","Alone","No","Yes","Yes","","Fear of destruction of property","No","","Loss of important files in phone if destroyed","Maybe","less than 5,000","5,000 - 19,999","","Rape "
"2021/02/19 3:31:16 AM PST","31 - 35","Female","Imo","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Very scarcely populated","Mildly aggressive","Yes","Alone","Maybe","No","Yes","Accountability","","No","No","Loss of the recorded video (evidence) in phone if destroyed","Yes","less than 5,000","less than 5,000","","Saving information"
"2021/02/19 4:01:18 AM PST","16 - 20","Female","Rivers","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Very populated","Very aggressive","Yes","With Someone","No","Yes","Yes","Fear for your life","","No","","Loss of important files in phone if destroyed","Yes","5,000 - 19,999","less than 5,000","","Every other evidence in life ..robbery
"
"2021/02/19 4:03:12 AM PST","21 - 25","Female","Lagos","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With friends","Yes","Moderately populated","Life threatening","Yes","Alone","No","No","Yes","Fear for your life","","No","","Expense of getting a new phone if destroyed","Yes","less than 5,000","less than 5,000","",""
"2021/02/19 4:09:08 AM PST","26 - 30","Female","Lagos","Full-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Scarcely populated","Very aggressive","Yes","With Someone","Maybe","Yes","","Accountability","","No","","Loss of important files in phone if destroyed","Yes","less than 5,000","less than 5,000","",""
"2021/02/19 4:09:54 AM PST","21 - 25","Female","Rivers","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Very scarcely populated","Mildly aggressive","Yes","Alone","Yes","No","Yes","Accountability","","No","","","Maybe","5,000 - 19,999","20,000 - 34,999","","Official/unofficial meetings with people you aren’t familiar with"
"2021/02/19 4:11:43 AM PST","21 - 25","Female","Lagos","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With friends","Yes","Moderately populated","Life threatening","Yes","Alone","No","No","Yes","Fear for your life","","No","","Expense of getting a new phone if destroyed","Yes","less than 5,000","less than 5,000","",""
"2021/02/19 4:14:51 AM PST","21 - 25","Female","Delta","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With friends","Yes","Moderately populated","Very aggressive","Yes","With Someone","Yes","No","No","","Fear for your life","No","","Expense of getting a new phone if destroyed","Maybe","5,000 - 19,999","20,000 - 34,999","","I don’t know"
"2021/02/19 4:15:56 AM PST","31 - 35","Male","Lagos","Full-time employed","250,000 - 499,999","Commercial private vehicle (like uber, bolt, drop etc.)","Almost Every Time","With friends","No","Scarcely populated","Not aggressive","No","With Someone","Yes","Yes","No","","Didn't feel it was necessary","No","No","Expense of getting a new phone if destroyed","Yes","35,000 - 49,999","50,000 - 64,999","","Crime Scene"
"2021/02/19 4:20:12 AM PST","21 - 25","Female","Anambra","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","By yourself","Yes","Very populated","Very aggressive","Yes","Alone","Maybe","No","Yes","Accountability","","No","","Loss of important files in phone if destroyed","Yes","less than 5,000","less than 5,000","",""
